time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-01 00:00:00+00:00,3,2,1.0,1.0
2023-06-02 00:00:00+00:00,3,2,,
2023-06-03 00:00:00+00:00,8,3,2.0,1.0
2023-06-04 00:00:00+00:00,5,2,2.0,2.0
2023-06-05 00:00:00+00:00,6,3,1.0,1.0
2023-06-06 00:00:00+00:00,3,2,3.0,3.0
2023-06-07 00:00:00+00:00,3,2,,
2023-06-08 00:00:00+00:00,3,2,9.0,1.0
2023-06-09 00:00:00+00:00,3,2,,
2023-06-10 00:00:00+00:00,3,2,6.0,3.0
2023-06-11 00:00:00+00:00,3,2,86.0,1.0
2023-06-12 00:00:00+00:00,4,3,6.0,1.0
2023-06-13 00:00:00+00:00,3,2,,
2023-06-14 00:00:00+00:00,3,2,7.0,1.0
