time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-10 00:00:00+00:00,0,0,2,1
2022-06-11 00:00:00+00:00,0,0,1,1
2022-06-13 00:00:00+00:00,2,2,4,2
2022-06-14 00:00:00+00:00,3,3,0,0
2022-06-15 00:00:00+00:00,9,5,2,1
2022-06-16 00:00:00+00:00,9,7,0,0
2022-06-17 00:00:00+00:00,1,1,2,1
2022-06-18 00:00:00+00:00,0,0,3,2
2022-06-21 00:00:00+00:00,3,3,0,0
2022-06-22 00:00:00+00:00,4,3,1,1
2022-06-24 00:00:00+00:00,20,13,0,0
2022-06-25 00:00:00+00:00,8,5,5,2
2022-06-26 00:00:00+00:00,3,2,0,0
2022-06-27 00:00:00+00:00,2,2,0,0
2022-06-28 00:00:00+00:00,5,4,0,0
2022-06-29 00:00:00+00:00,13,7,1,1
2022-06-30 00:00:00+00:00,3,3,4,2
